lemma_,count,pos,lemma,freq,number_of_meanings,pos_fr,etymology,age
auxine@NOUN,149,NOUN,auxine,2.8378009230048444e-07,1.0,substantif,1933.0,87.0
permanganate@NOUN,108,NOUN,permanganate,2.0569295280840483e-07,1.0,substantif,1845.0,175.0
sénescence@NOUN,165,NOUN,sénescence,3.1425312234617405e-07,1.0,substantif,1876.0,144.0
brouille@NOUN,541,NOUN,brouille,1.0303693284198798e-06,2.0,substantif,1617.0,403.0
scout@ADJ,676,ADJ,scout,1.2874855194303857e-06,2.0,adjectif,1550.0,470.0
alphanumérique@ADJ,134,ADJ,alphanumérique,2.5521162663265043e-07,2.0,adjectif,1947.0,73.0
floristique@NOUN,191,NOUN,floristique,3.637717961704196e-07,1.0,substantif,1931.0,89.0
heuristique@ADJ,394,ADJ,heuristique,7.503983648751065e-07,4.0,adjectif,1622.0,398.0
tautologie@NOUN,136,NOUN,tautologie,2.5902075538836163e-07,3.0,substantif,1521.0,499.0
irréalisable@ADJ,327,ADJ,irréalisable,6.227925515587813e-07,1.0,adjectif,1831.0,189.0
restructure@VERB,152,VERB,restructure,2.8949378543405123e-07,5.0,verbe,1960.0,60.0
tibial@ADJ,184,ADJ,tibial,3.5043984552543045e-07,1.0,adjectif,1690.0,330.0
platière@NOUN,157,NOUN,platière,2.990166073233292e-07,3.0,substantif,1789.0,231.0
indubitable@ADJ,213,ADJ,indubitable,4.0567221248324287e-07,1.0,adjectif,1538.0,482.0
madère@NOUN,297,NOUN,madère,5.656556202231132e-07,1.0,substantif,1765.0,255.0
astringent@ADJ,169,ADJ,astringent,3.2187137985759644e-07,2.0,adjectif,1537.0,483.0
légumineuse@NOUN,702,NOUN,légumineuse,1.3370041932546314e-06,2.0,substantif,1570.0,450.0
amorçage@NOUN,456,NOUN,amorçage,8.684813563021538e-07,1.0,substantif,1838.0,182.0
ampère@NOUN,433,NOUN,ampère,8.24676375611475e-07,1.0,substantif,1865.0,155.0
condensateur@NOUN,733,NOUN,condensateur,1.396045688968155e-06,4.0,substantif,1753.0,267.0
oscillateur@NOUN,663,NOUN,oscillateur,1.262726182518263e-06,1.0,substantif,1898.0,122.0
jockey@NOUN,748,NOUN,jockey,1.424614154635989e-06,1.0,substantif,1670.0,350.0
redouté@NOUN,158,NOUN,redouté,3.0092117170118487e-07,1.0,substantif,1599.0,421.0
levantin@NOUN,216,NOUN,levantin,4.1138590561680966e-07,1.0,substantif,1575.0,445.0
préture@NOUN,105,NOUN,préture,1.9997925967483804e-07,2.0,substantif,1527.0,493.0
piéton@ADJ,212,ADJ,piéton,4.0376764810538727e-07,3.0,adjectif,1599.0,421.0
butée@NOUN,229,NOUN,butée,4.3614524252893247e-07,5.0,substantif,1815.0,205.0
braiser@VERB,136,VERB,braiser,2.5902075538836163e-07,1.0,verbe,1767.0,253.0
mijoter@VERB,195,VERB,mijoter,3.7139005368184207e-07,3.0,verbe,1583.0,437.0
